"Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información"
"2015-1",19,18,8,6,0
"2015-2",12,33,8,1,0
"2016-1",25,20,9,2,0
"2016-2",20,45,23,2,0
"2017-1",92,42,14,10,0
"2017-2",17,36,15,5,0
"2018-1",142,67,8,3,0
"2018-2",42,79,36,15,0
"2019-1",174,53,25,7,2
"2019-2",22,39,12,6,0
"2020-1",129,61,9,1,0
"2020-2",34,108,48,7,0
