"Periodo","Hombres","Mujeres"
"2009-1",22,18
"2009-2",22,18
"2010-1",28,30
"2010-2",31,31
"2011-1",55,35
"2011-2",43,43
"2012-1",61,53
"2012-2",56,54
"2013-1",77,64
"2013-2",76,62
"2014-1",95,65
"2014-2",79,59
"2015-1",71,61
"2015-2",68,62
"2016-1",72,71
"2016-2",69,69
"2017-1",75,75
"2017-2",77,77
"2018-1",91,93
"2018-2",77,85
"2019-1",96,112
"2019-2",79,99
