"Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE"
"2009-1",23,11,2,4
"2009-2",20,14,1,5
"2010-1",31,20,3,4
"2010-2",29,20,3,10
"2011-1",41,27,3,19
"2011-2",,,,
"2012-1",41,37,2,34
"2012-2",33,30,0,47
"2013-1",47,34,1,59
"2013-2",49,33,2,54
"2014-1",64,44,2,50
"2014-2",50,39,4,45
"2015-1",49,37,4,42
"2015-2",49,37,4,40
"2016-1",56,44,5,38
"2016-2",58,39,5,36
"2017-1",73,39,7,31
"2017-2",80,43,5,26
"2018-1",98,52,6,28
"2018-2",92,42,7,21
"2019-1",136,51,7,14
"2019-2",126,37,6,9
