"Periodo","Hombres","Mujeres"
"2015-1",32,19
"2015-2",31,23
"2016-1",33,23
"2016-2",44,46
"2017-1",86,72
"2017-2",42,31
"2018-1",118,102
"2018-2",84,88
"2019-1",140,121
"2019-2",41,38
"2020-1",103,97
"2020-2",86,111
