"Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE"
"2015-1",49,0,0,2
"2015-2",51,0,1,2
"2016-1",54,1,0,1
"2016-2",87,0,0,3
"2017-1",152,1,0,5
"2017-2",72,0,0,1
"2018-1",216,0,0,4
"2018-2",170,0,0,2
"2019-1",258,1,0,2
"2019-2",78,0,0,1
"2020-1",194,1,1,4
"2020-2",195,0,0,2
