"Año","Periodo","PEAMA - Amazonía","PEAMA - Caribe","PEAMA - Orinoquía","Total"
"2020","2","7","","4","11"
"2020","1","3","","3","6"
"2019","2","3","1","7","11"
"2019","1","1","","2","3"
"2018","2","4","3","4","11"
"2018","1","5","","3","8"
"2017","2","3","1","7","11"
"2017","1","2","","2","4"
"2016","2","6","2","5","13"
"2016","1","","","2","2"
"2015","2","1","","1","2"
"2015","1","","","2","2"
"2014","2","","1","2","3"
"2014","1","","","1","1"
