"Periodo","Total"
"2008-1",253
"2008-2",119
"2009-1",479
"2009-2",165
"2010-1",405
"2010-2",137
"2011-1",871
"2011-2",218
"2012-1",915
"2012-2",242
"2013-1",619
"2013-2",262
"2014-1",762
"2014-2",350
"2015-1",806
"2015-2",269
"2016-1",460
"2016-2",306
"2017-1",2002
"2017-2",843
"2018-1",1557
"2018-2",1167
"2019-1",2040
"2019-2",1387
"2020-1",1585
"2020-2",1222
