"Periodo","No","Sí"
"2008-1",186,67
"2008-2",77,42
"2009-1",414,65
"2009-2",110,55
"2010-1",326,79
"2010-2",93,44
"2011-1",769,102
"2011-2",150,68
"2012-1",816,99
"2012-2",165,77
"2013-1",529,90
"2013-2",187,75
"2014-1",652,110
"2014-2",261,89
"2015-1",725,81
"2015-2",215,54
"2016-1",371,89
"2016-2",212,94
"2017-1",1781,221
"2017-2",672,171
"2018-1",1293,264
"2018-2",930,237
"2019-1",1776,264
"2019-2",1131,256
"2020-1",1321,264
"2020-2",996,226
