"Año","Periodo","No","Sí","Total"
"2021","1","6747","38","6785"
"2020","2","4481","24","4505"
"2020","1","7714","36","7750"
"2019","2","3717","21","3738"
"2019","1","10026","6","10032"
"2018","2","5694","14","5708"
"2018","1","9247","10","9257"
"2017","2","4742","8","4750"
"2017","1","8862","7","8869"
"2016","2","4650","16","4666"
"2016","1","9429","7","9436"
"2015","2","5095","2","5097"
"2015","1","8365","0","8365"
"2014","2","5142","4","5146"
