"Periodo","Hombres","Mujeres"
"2014-1",2,2
"2014-2",5,1
"2015-1",10,5
"2015-2",8,6
"2016-1",8,7
"2016-2",11,9
"2017-1",14,5
"2017-2",16,6
"2018-1",17,11
"2018-2",17,12
"2019-1",3,5
"2019-2",33,23
