"Periodo","No","Sí"
"2008-2",39,19
"2009-1",232,40
"2009-2",19,7
"2010-1",283,50
"2010-2",18,15
"2011-1",226,40
"2011-2",39,15
"2012-1",146,40
"2012-2",41,12
"2013-1",52,36
"2013-2",90,19
"2014-1",98,18
"2014-2",23,8
"2015-1",144,34
"2015-2",30,5
"2016-1",190,39
"2016-2",76,20
"2017-1",132,45
"2017-2",93,24
"2018-1",142,64
"2018-2",85,17
"2019-1",176,84
"2019-2",78,9
"2020-1",143,43
"2020-2",61,39
