"Periodo","Hombres","Mujeres"
"2008-2",34,24
"2009-1",148,124
"2009-2",15,11
"2010-1",168,165
"2010-2",17,16
"2011-1",150,116
"2011-2",29,25
"2012-1",92,94
"2012-2",26,27
"2013-1",46,42
"2013-2",51,58
"2014-1",55,61
"2014-2",21,10
"2015-1",77,101
"2015-2",20,15
"2016-1",86,143
"2016-2",54,42
"2017-1",69,108
"2017-2",48,69
"2018-1",98,108
"2018-2",49,53
"2019-1",106,154
"2019-2",41,46
"2020-1",79,107
"2020-2",53,47
