"Periodo","Total"
"2008-2",58
"2009-1",272
"2009-2",26
"2010-1",333
"2010-2",33
"2011-1",266
"2011-2",54
"2012-1",186
"2012-2",53
"2013-1",88
"2013-2",109
"2014-1",116
"2014-2",31
"2015-1",178
"2015-2",35
"2016-1",229
"2016-2",96
"2017-1",177
"2017-2",117
"2018-1",206
"2018-2",102
"2019-1",260
"2019-2",87
"2020-1",186
"2020-2",100
