"Periodo";"Total"
"2009-1";11
"2009-2";277
"2010-1";289
"2010-2";235
"2011-1";346
"2011-2";248
"2012-1";417
"2012-2";333
"2013-1";320
"2013-2";213
"2014-1";135
"2014-2";335
"2015-1";300
"2015-2";281
"2016-1";318
"2016-2";255
"2017-1";243
"2017-2";267
"2018-1";246
"2018-2";272
"2019-1";237
"2019-2";258
"2020-1";260
"2020-2";275
