"Periodo","Hombres","Mujeres"
"2015-1",187,306
"2015-2",291,371
"2016-1",564,706
"2016-2",291,377
"2017-1",458,650
"2017-2",382,584
"2018-1",970,1145
"2018-2",537,725
"2019-1",1509,2039
"2019-2",392,565
"2020-1",672,1053
"2020-2",546,928
