"Año","Periodo","No","Sí","Total"
"2021","1","1025","665","1690"
"2020","2","1051","521","1572"
"2020","1","1289","707","1996"
"2019","2","977","513","1490"
"2019","1","1798","734","2532"
"2018","2","1150","544","1694"
"2018","1","1588","705","2293"
"2017","2","1267","605","1872"
"2017","1","1865","785","2650"
"2016","2","1209","587","1796"
"2016","1","1690","825","2515"
"2015","2","1124","585","1709"
"2015","1","1449","756","2205"
"2014","2","1049","610","1659"
