"Año","Periodo","No","Sí","Total"
"2021","1","1683","7","1690"
"2020","2","1560","12","1572"
"2020","1","1987","9","1996"
"2019","2","1480","10","1490"
"2019","1","2531","1","2532"
"2018","2","1692","2","1694"
"2018","1","2291","2","2293"
"2017","2","1870","2","1872"
"2017","1","2648","2","2650"
"2016","2","1792","4","1796"
"2016","1","2513","2","2515"
"2015","2","1707","2","1709"
"2015","1","2205","0","2205"
"2014","2","1659","0","1659"
