"Periodo","Total"
"2008-2",51
"2009-2",39
"2010-1",51
"2010-2",71
"2011-1",83
"2011-2",80
"2012-1",83
"2012-2",78
"2013-1",90
"2013-2",76
"2014-1",77
"2014-2",68
"2015-1",89
"2015-2",53
"2016-1",90
"2016-2",59
"2017-1",109
"2017-2",83
"2018-1",132
"2018-2",124
"2019-1",132
"2019-2",95
"2020-1",132
"2020-2",121
