"Periodo","Hombres","Mujeres"
"2008-2",35,16
"2009-2",27,12
"2010-1",37,14
"2010-2",50,21
"2011-1",53,30
"2011-2",45,35
"2012-1",40,43
"2012-2",49,29
"2013-1",63,27
"2013-2",45,31
"2014-1",46,31
"2014-2",35,33
"2015-1",60,29
"2015-2",32,21
"2016-1",48,42
"2016-2",26,33
"2017-1",69,40
"2017-2",43,40
"2018-1",74,58
"2018-2",76,48
"2019-1",68,64
"2019-2",57,38
"2020-1",86,46
"2020-2",66,55
