"Año","Periodo","No","Sí","Total"
"2021","1","611","2","613"
"2020","2","835","14","849"
"2020","1","766","2","768"
"2019","2","737","2","739"
"2019","1","1217","1","1218"
"2018","2","834","0","834"
"2018","1","1003","1","1004"
"2017","2","897","3","900"
"2017","1","979","0","979"
"2016","2","828","1","829"
"2016","1","986","0","986"
"2015","2","1012","1","1013"
"2015","1","922","0","922"
"2014","2","940","0","940"
