"Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE"
"2013-1",0,0,0,0
"2013-2",0,1,0,0
"2014-1",0,0,0,0
"2014-2",0,0,0,1
"2015-1",0,0,0,0
"2015-2",3,0,1,3
"2016-1",0,1,0,0
"2016-2",7,1,0,2
"2017-1",9,0,0,6
"2017-2",6,0,0,12
"2018-1",8,0,0,10
"2018-2",9,0,1,2
"2019-1",3,0,0,2
"2019-2",23,1,0,18
"2020-1",27,1,1,5
