"Periodo";"Total"
"2009-1";39065
"2009-2";38680
"2010-1";39314
"2010-2";39084
"2011-1";40225
"2011-2";40241
"2012-1";41340
"2012-2";41505
"2013-1";42428
"2013-2";42284
"2014-1";42293
"2014-2";42837
"2015-1";43184
"2015-2";43409
"2016-1";43555
"2016-2";43798
"2017-1";43897
"2017-2";43890
"2018-1";44275
"2018-2";44413
"2019-1";44621
"2019-2";45580
"2020-1";36358
"2020-2";47279
