"Periodo","23 años o menos","24 a 25 años","26 o más años","Sin información"
"2013-1",0,0,0,0
"2013-2",0,1,0,0
"2014-1",0,0,0,0
"2014-2",0,1,0,0
"2015-1",0,0,0,0
"2015-2",4,2,1,0
"2016-1",0,1,0,0
"2016-2",3,3,4,0
"2017-1",4,5,6,0
"2017-2",4,4,10,0
"2018-1",3,6,9,0
"2018-2",4,3,5,0
"2019-1",2,1,2,0
"2019-2",8,12,22,0
"2020-1",3,15,16,0
