"Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE"
"2015-1",45,2,0,2
"2015-2",72,1,0,1
"2016-1",117,2,0,6
"2016-2",174,2,0,5
"2017-1",258,1,0,6
"2017-2",289,1,0,6
"2018-1",404,2,0,8
"2018-2",500,2,0,8
"2019-1",673,4,0,17
"2019-2",647,3,0,14
