"Periodo","Total"
"2009-1",43
"2009-2",75
"2010-1",124
"2010-2",166
"2011-1",202
"2011-2",231
"2012-1",244
"2012-2",291
"2013-1",333
"2013-2",367
"2014-1",506
"2014-2",389
"2015-1",448
"2015-2",449
"2016-1",474
"2016-2",487
"2017-1",528
"2017-2",528
"2018-1",587
"2018-2",638
"2019-1",656
"2019-2",679
