"Año","Periodo","PEAMA - Amazonía","PEAMA - Caribe","PEAMA - Orinoquía","Total"
"2020","2","","","1","1"
"2020","1","11","1","4","16"
"2019","2","5","4","11","20"
"2019","1","2","","1","3"
"2018","2","3","1","10","14"
"2018","1","1","","6","7"
"2017","2","2","1","5","8"
"2017","1","6","2","7","15"
"2016","2","2","2","6","10"
"2016","1","1","","3","4"
"2015","2","3","","5","8"
"2015","1","","1","7","8"
"2014","2","","","4","4"
"2014","1","","","1","1"
"2013","2","","1","","1"
