"Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE"
"2015-1",469,0,0,24
"2015-2",644,2,3,13
"2016-1",1263,1,2,4
"2016-2",660,1,1,6
"2017-1",1092,3,0,13
"2017-2",960,1,1,4
"2018-1",2067,1,1,46
"2018-2",1247,0,0,15
"2019-1",3532,2,0,14
"2019-2",949,0,0,8
"2020-1",1696,1,1,27
"2020-2",1463,3,0,8
