"Periodo","No","Sí"
"2008-2",161,51
"2009-2",120,39
"2010-1",284,51
"2010-2",181,71
"2011-1",320,83
"2011-2",191,80
"2012-1",613,83
"2012-2",177,78
"2013-1",460,90
"2013-2",297,76
"2014-1",455,77
"2014-2",243,68
"2015-1",351,89
"2015-2",290,53
"2016-1",342,90
"2016-2",183,59
"2017-1",628,109
"2017-2",294,83
"2018-1",639,132
"2018-2",718,124
"2019-1",825,132
"2019-2",214,95
"2020-1",702,132
"2020-2",546,121
