"Periodo","Hombres","Mujeres"
"2008-2",127,85
"2009-2",96,63
"2010-1",202,133
"2010-2",162,90
"2011-1",221,182
"2011-2",146,125
"2012-1",390,306
"2012-2",142,113
"2013-1",287,263
"2013-2",196,177
"2014-1",263,269
"2014-2",156,155
"2015-1",232,208
"2015-2",171,172
"2016-1",204,228
"2016-2",116,126
"2017-1",371,366
"2017-2",182,195
"2018-1",382,389
"2018-2",427,415
"2019-1",491,466
"2019-2",152,157
"2020-1",402,432
"2020-2",309,358
