"Año","Periodo","PEAMA - Amazonía","PEAMA - Caribe","PEAMA - Orinoquía","Total"
"2020","2","1","","3","4"
"2020","1","2","","2","4"
"2019","2","3","2","3","8"
"2019","1","1","1","","2"
"2018","2","2","3","","5"
"2018","1","1","1","5","7"
"2017","2","1","1","1","3"
"2017","1","2","","3","5"
"2016","1","","","1","1"
"2015","2","","1","3","4"
"2014","1","","","1","1"
"2013","2","1","","","1"
