"Periodo";"Total"
"2009-1";10018
"2009-2";9686
"2010-1";10004
"2010-2";9906
"2011-1";10213
"2011-2";10236
"2012-1";10403
"2012-2";10150
"2013-1";10125
"2013-2";10088
"2014-1";10159
"2014-2";10235
"2015-1";10388
"2015-2";10594
"2016-1";10498
"2016-2";10594
"2017-1";10554
"2017-2";10511
"2018-1";10586
"2018-2";10637
"2019-1";10742
"2019-2";11103
"2020-1";1246
"2020-2";11709
