"Periodo";"Total"
"2009-1";22525
"2009-2";22472
"2010-1";22653
"2010-2";22671
"2011-1";23147
"2011-2";23152
"2012-1";23681
"2012-2";23883
"2013-1";24667
"2013-2";24528
"2014-1";24675
"2014-2";24931
"2015-1";24921
"2015-2";24991
"2016-1";24936
"2016-2";25097
"2017-1";25098
"2017-2";25256
"2018-1";25569
"2018-2";25613
"2019-1";25753
"2019-2";26184
"2020-1";26451
"2020-2";26532
