"Periodo","Total"
"2008-1",67
"2008-2",42
"2009-1",65
"2009-2",55
"2010-1",79
"2010-2",44
"2011-1",102
"2011-2",68
"2012-1",99
"2012-2",77
"2013-1",90
"2013-2",75
"2014-1",110
"2014-2",89
"2015-1",81
"2015-2",54
"2016-1",89
"2016-2",94
"2017-1",221
"2017-2",171
"2018-1",264
"2018-2",237
"2019-1",264
"2019-2",256
"2020-1",264
"2020-2",226
