"Periodo","Hombres","Mujeres"
"2008-1",47,20
"2008-2",29,13
"2009-1",43,22
"2009-2",34,21
"2010-1",58,21
"2010-2",31,13
"2011-1",75,27
"2011-2",48,20
"2012-1",51,48
"2012-2",54,23
"2013-1",61,29
"2013-2",53,22
"2014-1",81,29
"2014-2",68,21
"2015-1",64,17
"2015-2",34,20
"2016-1",61,28
"2016-2",56,38
"2017-1",144,77
"2017-2",97,74
"2018-1",153,111
"2018-2",141,96
"2019-1",155,109
"2019-2",153,103
"2020-1",173,91
"2020-2",119,107
