"Periodo";"Total"
"2008-1";595
"2008-2";572
"2009-1";709
"2009-2";534
"2010-1";789
"2010-2";524
"2011-1";765
"2011-2";571
"2012-1";752
"2012-2";642
"2013-1";788
"2013-2";550
"2014-1";672
"2014-2";610
"2015-1";756
"2015-2";585
"2016-1";825
"2016-2";587
"2017-1";785
"2017-2";605
"2018-1";705
"2018-2";544
"2019-1";734
"2019-2";550
"2020-1";707
"2020-2";521
"2021-1";665
