"Periodo";"Total"
"2009-1";2419
"2009-2";2218
"2010-1";2582
"2010-2";2627
"2011-1";2731
"2011-2";2090
"2012-1";2544
"2012-2";2620
"2013-1";2771
"2013-2";2308
"2014-1";2383
"2014-2";2508
"2015-1";2479
"2015-2";2532
"2016-1";2412
"2016-2";2571
"2017-1";2493
"2017-2";2531
"2018-1";2852
"2018-2";2590
"2019-1";2671
"2019-2";2619
"2020-1";2610
"2020-2";2493
