"Periodo","Hombres","Mujeres"
"2008-1",151,102
"2008-2",64,55
"2009-1",232,247
"2009-2",96,69
"2010-1",231,174
"2010-2",88,49
"2011-1",443,428
"2011-2",123,95
"2012-1",439,476
"2012-2",150,92
"2013-1",291,328
"2013-2",128,134
"2014-1",403,359
"2014-2",199,151
"2015-1",439,367
"2015-2",149,120
"2016-1",246,214
"2016-2",145,161
"2017-1",959,1043
"2017-2",389,454
"2018-1",707,850
"2018-2",523,644
"2019-1",947,1093
"2019-2",655,732
"2020-1",753,832
"2020-2",564,658
