"Año","Periodo","PEAMA - Amazonía","PEAMA - Caribe","PEAMA - Orinoquía","Total"
"2020","2","7","2","17","26"
"2020","1","18","3","20","41"
"2019","2","31","14","35","80"
"2019","1","1","1","5","7"
"2018","2","3","6","15","24"
"2018","1","11","3","14","28"
"2017","2","12","5","9","26"
"2017","1","5","7","7","19"
"2016","2","2","5","9","16"
"2016","1","","3","9","12"
"2015","2","3","2","5","10"
"2015","1","","1","6","7"
"2014","2","1","","","1"
"2014","1","","","1","1"
