"Año","Periodo","No","Sí","Total"
"2021","1","5118","1667","6785"
"2020","2","3063","1442","4505"
"2020","1","5949","1801","7750"
"2019","2","2127","1611","3738"
"2019","1","8215","1817","10032"
"2018","2","3873","1835","5708"
"2018","1","7441","1816","9257"
"2017","2","3074","1676","4750"
"2017","1","7054","1815","8869"
"2016","2","2964","1702","4666"
"2016","1","7659","1777","9436"
"2015","2","3478","1619","5097"
"2015","1","6566","1799","8365"
"2014","2","3498","1648","5146"
