"Periodo";"Total"
"2014-2";5146
"2015-1";8365
"2015-2";5097
"2016-1";9436
"2016-2";4666
"2017-1";8869
"2017-2";4750
"2018-1";9257
"2018-2";5708
"2019-1";10032
"2019-2";3738
"2020-1";7750
"2020-2";4505
"2021-1";6785
