"Periodo","Hombres","Mujeres"
"2008-2",13,6
"2009-1",23,17
"2009-2",4,3
"2010-1",26,24
"2010-2",7,8
"2011-1",29,11
"2011-2",8,7
"2012-1",20,20
"2012-2",6,6
"2013-1",24,12
"2013-2",14,5
"2014-1",12,6
"2014-2",7,1
"2015-1",13,21
"2015-2",2,3
"2016-1",20,19
"2016-2",12,8
"2017-1",26,19
"2017-2",14,10
"2018-1",33,31
"2018-2",8,9
"2019-1",35,49
"2019-2",4,5
"2020-1",27,16
"2020-2",22,17
