"Periodo";"Total"
"2008-1";2937
"2008-2";2751
"2009-1";2969
"2009-2";2764
"2010-1";3256
"2010-2";3199
"2011-1";3331
"2011-2";3005
"2012-1";3337
"2012-2";2957
"2013-1";3372
"2013-2";2585
"2014-1";2809
"2014-2";2906
"2015-1";3162
"2015-2";2927
"2016-1";3142
"2016-2";3004
"2017-1";3269
"2017-2";2965
"2018-1";3664
"2018-2";3038
"2019-1";3337
"2019-2";2964
"2020-1";3273
"2020-2";2730
"2021-1";3063
