"Periodo";"Colombiana";"Extranjero";"Sin información"
"2014-2";29002;109;0
"2015-1";46378;127;0
"2015-2";30920;144;0
"2016-1";48254;145;0
"2016-2";28860;120;0
"2017-1";50109;204;0
"2017-2";31733;190;0
"2018-1";47111;292;0
"2018-2";30664;246;1
"2019-1";50997;336;0
"2019-2";28571;249;0
"2020-1";42573;324;0
"2020-2";27445;124;0
"2021-1";42947;167;0
