"Periodo","Hombres","Mujeres"
"2009-1",30,13
"2009-2",52,23
"2010-1",88,36
"2010-2",111,55
"2011-1",136,66
"2011-2",146,85
"2012-1",155,89
"2012-2",181,110
"2013-1",215,118
"2013-2",228,139
"2014-1",309,197
"2014-2",222,167
"2015-1",258,190
"2015-2",262,187
"2016-1",267,207
"2016-2",257,230
"2017-1",292,236
"2017-2",288,240
"2018-1",319,268
"2018-2",349,289
"2019-1",356,300
"2019-2",370,309
